Run,costO,costS,Strategy,PI,RS
160,0.5,1,Revealers,6498.8,6.98
161,0.5,1.5,Concealers,6899.26,7.36
161,0.5,1.5,Revealers,7189.76,7.44
162,0.5,1.5,Concealers,7904.98,7.76
162,0.5,1.5,Revealers,8027.56,7.72
163,0.5,1.5,Concealers,7352.62,7.52
163,0.5,1.5,Revealers,7739.3,7.64
164,0.5,1.5,Concealers,8123.4,7.88
164,0.5,1.5,Revealers,7170.88,7.46
165,0.5,1.5,Concealers,7162.74,7.42
165,0.5,1.5,Revealers,7199.48,7.42
166,0.5,1.5,Concealers,7139,7.48
166,0.5,1.5,Revealers,7429.14,7.52
167,0.5,1.5,Concealers,7681.74,7.56
167,0.5,1.5,Revealers,7539.98,7.58
168,0.5,1.5,Concealers,7510.94,7.58
168,0.5,1.5,Revealers,7443.62,7.54
169,0.5,1.5,Concealers,8378.72,7.96
169,0.5,1.5,Revealers,8341.96,8
170,0.5,1.5,Concealers,7289.3,7.5
170,0.5,1.5,Revealers,7555.1,7.62
171,0.5,1.5,Concealers,7135.32,7.32
171,0.5,1.5,Revealers,7652.46,7.66
172,0.5,1.5,Concealers,7450.04,7.52
172,0.5,1.5,Revealers,7846.92,7.8
173,0.5,1.5,Concealers,7327.54,7.52
173,0.5,1.5,Revealers,7760.12,7.68
174,0.5,1.5,Concealers,7429.4,7.54
174,0.5,1.5,Revealers,7686.36,7.62
175,0.5,1.5,Concealers,7080.6,7.44
175,0.5,1.5,Revealers,7325.58,7.42
176,0.5,1.5,Concealers,7659.3,7.62
176,0.5,1.5,Revealers,7704.38,7.6
177,0.5,1.5,Concealers,7427.88,7.56
177,0.5,1.5,Revealers,7293.28,7.46
178,0.5,1.5,Concealers,7016.56,7.38
178,0.5,1.5,Revealers,7565.1,7.7
179,0.5,1.5,Concealers,7895.48,7.82
179,0.5,1.5,Revealers,7532.3,7.54
180,0.5,1.5,Concealers,6822.1,7.28
180,0.5,1.5,Revealers,7032.4,7.36
181,0.5,2,Concealers,7662.6,7.6
181,0.5,2,Revealers,7389.74,7.54
182,0.5,2,Concealers,8403.8,7.9
182,0.5,2,Revealers,8078.84,7.88
183,0.5,2,Concealers,7170.6,7.38
183,0.5,2,Revealers,7535.64,7.62
184,0.5,2,Concealers,7321.48,7.52
184,0.5,2,Revealers,7560.62,7.62
185,0.5,2,Concealers,7426.58,7.58
185,0.5,2,Revealers,7322.94,7.52
186,0.5,2,Concealers,7690.56,7.66
186,0.5,2,Revealers,7361.7,7.46
187,0.5,2,Concealers,8325.66,8
187,0.5,2,Revealers,7977.98,7.68
188,0.5,2,Concealers,7506.58,7.52
188,0.5,2,Revealers,7651.32,7.6
189,0.5,2,Concealers,7410.04,7.56
189,0.5,2,Revealers,7336.04,7.5
190,0.5,2,Concealers,7824.18,7.7
190,0.5,2,Revealers,7796.92,7.74
191,0.5,2,Concealers,7401.84,7.58
191,0.5,2,Revealers,7906.64,7.68
192,0.5,2,Concealers,7512.18,7.54
192,0.5,2,Revealers,7767.4,7.68
193,0.5,2,Concealers,7523.66,7.62
193,0.5,2,Revealers,7398.82,7.5
194,0.5,2,Concealers,7473.92,7.54
194,0.5,2,Revealers,7327.54,7.52
