Experiment,Run,Decrement,Strategy,PI,RS
1,140,TRUE,Concealers,6060.9,6.76
1,140,TRUE,Revealers,6485.66,6.86
1,141,TRUE,Concealers,7655.62,7.48
1,141,TRUE,Revealers,6587,7.04
1,142,TRUE,Concealers,6625.08,6.88
1,142,TRUE,Revealers,4816,6.14
1,143,TRUE,Concealers,7591.3,7.5
1,143,TRUE,Revealers,5823.7,6.64
1,144,TRUE,Concealers,7078.8,7.18
1,144,TRUE,Revealers,5981.92,6.6
1,145,TRUE,Concealers,5613.24,6.58
1,145,TRUE,Revealers,6924.04,6.86
1,146,TRUE,Concealers,5740.4,6.36
1,146,TRUE,Revealers,3281.02,5.36
1,147,TRUE,Concealers,8645.94,7.96
1,147,TRUE,Revealers,5827.5,6.64
1,148,TRUE,Concealers,5160.02,6.3
1,148,TRUE,Revealers,6138.48,6.7
1,149,TRUE,Concealers,6552.34,6.9
1,149,TRUE,Revealers,6915.72,7.2
1,150,TRUE,Concealers,6058.74,6.72
1,150,TRUE,Revealers,7528.16,7.34
1,151,TRUE,Concealers,6236.38,6.76
1,151,TRUE,Revealers,6093.3,6.6
1,152,TRUE,Concealers,4194.3,5.88
1,152,TRUE,Revealers,6135.24,6.56
1,153,TRUE,Concealers,4793.34,6.02
1,153,TRUE,Revealers,7265.32,7.2
1,154,TRUE,Concealers,6140.44,6.62
1,154,TRUE,Revealers,3936.9,5.74
1,155,TRUE,Concealers,7298.18,7.22
1,155,TRUE,Revealers,5604.44,6.38
1,156,TRUE,Concealers,6473.28,6.92
1,156,TRUE,Revealers,5915.58,6.72
1,157,TRUE,Concealers,5966.36,6.24
1,157,TRUE,Revealers,3330.98,5.36
1,158,TRUE,Concealers,7772.96,7.46
1,158,TRUE,Revealers,4821.1,6.12
1,159,TRUE,Concealers,3845.56,5.66
1,159,TRUE,Revealers,6199.04,6.58
1,160,TRUE,Concealers,7246.62,7.34
1,160,TRUE,Revealers,6732.98,6.98
1,161,TRUE,Concealers,7036.04,7.1
1,161,TRUE,Revealers,5251.3,6.34
1,162,TRUE,Concealers,8017.82,7.66
1,162,TRUE,Revealers,6061.7,6.72
1,163,TRUE,Concealers,6370.42,6.78
1,163,TRUE,Revealers,6018.44,6.64
1,164,TRUE,Concealers,4058.26,5.88
1,164,TRUE,Revealers,5914.58,6.66
1,165,TRUE,Concealers,6439.6,6.84
1,165,TRUE,Revealers,7031.08,7.24
1,166,TRUE,Concealers,6799.66,7.18
1,166,TRUE,Revealers,5818.92,6.64
1,167,TRUE,Concealers,5123.6,6.24
1,167,TRUE,Revealers,7049.54,7.06
1,168,TRUE,Concealers,8068.5,7.66
1,168,TRUE,Revealers,7239.76,7.22
1,169,TRUE,Concealers,5614.58,6.6
1,169,TRUE,Revealers,7553.46,7.34
1,170,TRUE,Concealers,6175.4,6.78
1,170,TRUE,Revealers,4999.5,6.16
1,171,TRUE,Concealers,6965.2,7.18
1,171,TRUE,Revealers,6631.42,7.02
1,172,TRUE,Concealers,6996.74,7.06
1,172,TRUE,Revealers,7044.4,7.3
1,173,TRUE,Concealers,5524,6.48
1,173,TRUE,Revealers,7624.26,7.44
1,174,TRUE,Concealers,6252.22,6.78
1,174,TRUE,Revealers,5775.82,6.54
1,175,TRUE,Concealers,6202.74,6.7
1,175,TRUE,Revealers,4084.38,5.74
1,176,TRUE,Concealers,5852.56,6.6
1,176,TRUE,Revealers,5554.06,6.4
1,177,TRUE,Concealers,6169.24,6.78
1,177,TRUE,Revealers,7576.5,7.46
