"Run","competitor_radius","search_radius","Strategy","PI","RS"
275,2,4,"Concealers",5978.54,6.1
275,2,4,"Revealers",4194.14,5.38
276,2,4,"Concealers",7516.1,7.2
276,2,4,"Revealers",5227.16,6.18
277,2,4,"Concealers",6923.84,6.78
277,2,4,"Revealers",3953.44,5.56
278,2,4,"Concealers",6725.9,6.82
278,2,4,"Revealers",5740.86,6.3
279,2,4,"Concealers",7773.44,7.36
279,2,4,"Revealers",6422.4,6.9
280,2,4,"Concealers",7018.9,7.02
280,2,4,"Revealers",6694.34,6.88
281,2,4,"Concealers",7855.96,7.42
281,2,4,"Revealers",7172.04,7.1
282,2,4,"Concealers",6589.06,6.74
282,2,4,"Revealers",5228.5,6.2
283,2,4,"Concealers",8542.94,7.62
283,2,4,"Revealers",5140.98,6.18
284,2,4,"Concealers",8352.94,7.62
284,2,4,"Revealers",5555.06,6.4
285,2,4,"Concealers",7744.06,7.38
285,2,4,"Revealers",6731.22,6.78
286,2,4,"Concealers",6814.1,7.1
286,2,4,"Revealers",6588.06,6.78
287,2,4,"Concealers",7476.48,7.22
287,2,4,"Revealers",5817.7,6.4
288,2,4,"Concealers",7610.52,7.26
288,2,4,"Revealers",6132.32,6.84
289,2,4,"Concealers",5758.56,6.26
289,2,4,"Revealers",4101.88,5.44
290,2,4,"Concealers",6983.68,7.14
290,2,4,"Revealers",6468.52,6.8
291,2,4,"Concealers",7285.2,7.26
291,2,4,"Revealers",5899.58,6.44
292,2,4,"Concealers",6108.42,6.28
292,2,4,"Revealers",3663.62,5.4
293,2,4,"Concealers",8509.46,7.6
293,2,4,"Revealers",6248.58,6.74
294,2,4,"Concealers",6007.38,6.28
294,2,4,"Revealers",4462.42,5.6
295,2,4,"Concealers",7734.58,7.44
295,2,4,"Revealers",6109.32,6.74
296,2,4,"Concealers",7013.84,6.96
296,2,4,"Revealers",6422.22,6.84
297,2,4,"Concealers",6477.34,6.38
297,2,4,"Revealers",3208.3,5.08
298,2,4,"Concealers",5964.72,6.3
298,2,4,"Revealers",5063.68,5.8
299,2,4,"Concealers",8081.36,7.42
299,2,4,"Revealers",5472.26,6.4
300,2,4,"Concealers",6467.06,6.76
300,2,4,"Revealers",5498.16,6.14
301,2,5,"Concealers",8047.4,7.54
301,2,5,"Revealers",5598.64,6.3
302,2,5,"Concealers",5889.08,6.44
302,2,5,"Revealers",5153,5.86
303,2,5,"Concealers",7546.42,7.08
303,2,5,"Revealers",4855.02,5.98
304,2,5,"Concealers",7836.3,7.2
304,2,5,"Revealers",5499.56,6.28
305,2,5,"Concealers",7303.28,7.04
305,2,5,"Revealers",4736.1,5.92
