"BehaviorSpace results (NetLogo 6.1.0)"
"OvModel_updatedForNetlogo6.nlogo"
"Experiment 3 (Aggression Towards Ovulating)"
"04/30/2020 19:31:52:576 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","1","1","1","2","2","2","2"
"prop_m_promiscuity","20",,,,"20",,,
"f_detectOv?","true",,,,"true",,,
"sd_female_MV","10",,,,"10",,,
"num_males","100",,,,"100",,,
"competitor_radius","2",,,,"2",,,
"search_radius","2",,,,"2",,,
"ad_decay","0.01",,,,"0.01",,,
"initial_f_mod","1.25",,,,"1.25",,,
"costO_aggress","10",,,,"10",,,
"AcSig_num","50",,,,"50",,,
"FertConceal_num","50",,,,"50",,,
"decrement","true",,,,"false",,,
"prop_f_aggress","100",,,,"100",,,
"show-males_on_patch?","false",,,,"false",,,
,"55.9","108.48","0","0.02","34.26","108.9","0","0.02"
,"56.42","109.46","0","0.04","34.58","110.06","0","0.02"
,"56.98","109.72","0","0.04","34.84","111.24","0","0.02"
,"57.52","109.94","0","0.04","35.2","112.4","0","0.04"
,"58.02","110.24","0","0.04","35.52","113.54","0","0.04"
,"58.54","111.18","0","0.04","35.84","113.96","0","0.04"
,"59.08","111.4","0","0.04","36.16","115.14","0","0.04"
,"59.6","111.62","0","0.04","36.48","115.54","0","0.04"
,"60.1","111.88","0","0.04","36.8","116.72","0","0.04"
,"60.6","112.14","0","0.04","37.1","117.94","0","0.04"
,"61.12","113.1","0","0.04","37.46","118.28","0","0.04"
,"61.64","113.3","0","0.04","37.74","118.7","0","0.04"
,"62.16","113.52","0","0.04","38.12","119.86","0","0.04"
,"62.68","113.76","0","0.04","38.4","120.28","0","0.04"
,"63.12","114.06","0","0.04","38.7","120.64","0","0.04"
,"63.54","114.36","0","0.04","38.96","121.1","0","0.04"
,"64","114.66","0","0.04","39.22","121.48","0","0.04"
,"64.48","115.62","0","0.04","39.44","122.8","0","0.04"
,"64.98","116.6","0","0.04","39.66","123.28","0","0.04"
,"65.5","117.54","0","0.04","39.92","123.68","0","0.04"
,"66","118.52","0","0.04","40.22","124.86","0","0.04"
,"66.54","119.48","0","0.04","40.54","125.2","0","0.04"
,"67.02","120.42","0","0.04","40.9","126.36","0","0.04"
,"67.54","121.38","0","0.04","41.22","126.74","0","0.04"
,"68.04","122.4","0","0.04","41.56","127.12","0","0.04"
,"68.5","123.38","0","0.04","41.9","127.54","0","0.04"
,"69.06","124.3","0","0.04","42.16","127.96","0","0.04"
,"69.56","125.28","0","0.04","42.44","128.38","0","0.04"
,"70.02","126.26","0","0.04","42.76","128.76","0","0.04"
,"70.5","127.26","0","0.04","43.14","129.92","0","0.04"
,"70.96","128.26","0","0.04","43.48","130.28","0","0.04"
,"71.44","129.26","0","0.04","43.88","130.68","0","0.04"
,"71.92","130.22","0","0.04","44.14","131.14","0","0.04"
,"72.42","131.2","0","0.04","44.48","131.6","0","0.04"
,"72.92","132.2","0","0.04","44.78","132.04","0","0.04"
,"73.44","133.16","0","0.04","45.06","132.52","0","0.04"
,"73.92","134.14","0","0.04","45.38","133.68","0","0.04"
,"74.38","135.14","0","0.04","45.66","134.1","0","0.04"
,"74.86","136.14","0","0.04","45.88","134.6","0","0.04"
,"75.38","137.08","0","0.04","46.16","135.04","0","0.04"
,"75.88","138.02","0","0.04","46.42","135.5","0","0.04"
,"76.38","138.94","0","0.04","46.74","135.9","0","0.04"
,"76.9","139.92","0","0.04","47.08","136.38","0","0.04"
,"77.34","140.9","0","0.04","47.34","136.84","0","0.04"
,"77.8","141.92","0","0.04","47.72","137.24","0","0.04"
,"78.26","142.9","0","0.04","48.06","138.46","0","0.04"
,"78.72","143.88","0","0.04","48.32","138.94","0","0.04"
,"79.18","144.92","0","0.04","48.62","140.16","0","0.04"
,"79.76","145.86","0","0.04","48.88","140.64","0","0.04"
,"80.24","146.84","0","0.04","49.16","141.84","0","0.04"
,"80.8","147.78","0","0.04","49.52","143.02","0","0.04"
,"81.36","148.74","0","0.04","49.8","144.22","0","0.04"
,"81.88","149.72","0","0.04","50.12","144.72","0","0.04"
,"82.32","150.74","0","0.04","50.5","145.2","0","0.04"
,"82.8","151.74","0","0.04","50.72","145.76","0","0.04"
,"83.3","152.72","0","0.04","51","146.28","0","0.04"
,"83.72","153.78","0","0.04","51.38","146.74","0","0.04"
,"84.24","154.76","0","0.04","51.72","147.92","0","0.04"
,"84.7","155.76","0","0.04","52","148.42","0","0.04"
,"85.14","156.8","0","0.04","52.32","148.88","0","0.04"
,"85.64","157.78","0","0.04","52.62","149.38","0","0.04"
,"86.1","158.76","0","0.04","52.94","149.84","0","0.04"
,"86.58","159.78","0","0.04","53.26","150.34","0","0.04"
,"87.04","160.78","0","0.04","53.62","150.78","0","0.04"
,"87.56","161.72","0","0.04","53.94","151.26","0","0.04"
,"88.1","162.66","0","0.04","54.34","151.68","0","0.04"
,"88.62","163.62","0","0.04","54.66","152.2","0","0.04"
,"89.08","164.6","0","0.04","54.98","153.38","0","0.04"
,"89.6","165.58","0","0.04","55.34","153.86","0","0.04"
,"90.06","166.58","0","0.06","55.66","154.36","0","0.04"
,"90.58","167.54","0","0.06","56.02","154.84","0","0.04"
,"91.04","167.84","0","0.06","56.3","155.36","0","0.04"
,"91.58","168.8","0","0.06","56.62","155.84","0","0.04"
,"92.1","169.06","0","0.06","56.9","156.34","0","0.04"
,"92.6","169.36","0","0.06","57.3","156.76","0","0.04"
,"93.22","170.24","0","0.06","57.64","157.96","0","0.04"
,"93.7","170.56","0","0.06","57.98","159.14","0","0.04"
,"94.2","170.84","0","0.06","58.4","160.26","0","0.04"
,"94.68","171.14","0","0.06","58.74","160.72","0","0.04"
,"95.16","171.46","0","0.06","59.16","161.8","0","0.04"
,"95.74","171.7","0","0.06","59.5","162.32","0","0.04"
,"96.22","172.7","0","0.06","59.82","163.54","0","0.04"
,"96.72","173","0","0.06","60.2","164","0","0.04"
,"97.26","173.96","0","0.06","60.54","164.52","0","0.04"
,"97.74","174.26","0","0.06","60.86","165.06","0","0.04"
,"98.3","174.54","0","0.06","61.22","165.56","0","0.04"
,"98.84","174.86","0","0.06","61.62","166","0","0.04"
,"99.38","175.14","0","0.06","62.02","166.44","0","0.04"
,"99.9","175.44","0","0.06","62.38","166.9","0","0.04"
